t0,t30,t60,t90,t120 
5.47,5.36,5.18,4.9,4.79
6.9,6.29,5.36,5.15,5.07
5.3,5.29,5.26,5.12,5.16
7.29,6.67,5.68,5.28,5.19
6.9,6.29,5.36,5.15,5.07
7.29,6.67,5.68,5.28,5.19
