t-1,t0,t20,t40,t60,t80,t100,t120
180,490,250,250,230,230,160,0
165,170,170,250,240,140,0,0
210,600,280,320,280,220,210,0
60,240,400,300,260,190,20,0
550,40,30,60,190,205,170,40
60,100,50,170,260,240,240,160
90,250,100,220,220,250,270,210
90,40,130,240,250,220,220,0
